view,condition,waterfront,viewnew,conditionnew,waterfrontnew,price,bedrooms,bathrooms
0,3,0,0,2,0,221900.0,3,1.0
0,3,0,0,2,0,538000.0,3,2.25
0,3,0,0,2,0,180000.0,2,1.0
0,5,0,0,4,0,604000.0,4,3.0
0,3,0,0,2,0,510000.0,3,2.0
0,3,0,0,2,0,1225000.0,4,4.5
0,3,0,0,2,0,257500.0,3,2.25
0,3,0,0,2,0,291850.0,3,1.5
0,3,0,0,2,0,229500.0,3,1.0
0,3,0,0,2,0,323000.0,3,2.5
0,3,0,0,2,0,662500.0,3,2.5
0,4,0,0,3,0,468000.0,2,1.0
0,4,0,0,3,0,310000.0,3,1.0
0,4,0,0,3,0,400000.0,3,1.75
0,3,0,0,2,0,530000.0,5,2.0
3,3,0,3,2,0,650000.0,4,3.0
0,3,0,0,2,0,395000.0,3,2.0
0,4,0,0,3,0,485000.0,4,1.0
0,4,0,0,3,0,189000.0,2,1.0
0,4,0,0,3,0,230000.0,3,1.0
0,4,0,0,3,0,385000.0,4,1.75
4,3,0,4,2,0,2000000.0,3,2.75
0,3,0,0,2,0,285000.0,5,2.5
0,3,0,0,2,0,252700.0,2,1.5
0,4,0,0,3,0,329000.0,3,2.25
0,5,0,0,4,0,233000.0,3,2.0
0,3,0,0,2,0,937000.0,3,1.75
0,5,0,0,4,0,667000.0,3,1.0
0,3,0,0,2,0,438000.0,3,1.75
0,3,0,0,2,0,719000.0,4,2.5
0,3,0,0,2,0,580500.0,3,2.5
0,3,0,0,2,0,280000.0,2,1.5
0,4,0,0,3,0,687500.0,4,1.75
0,4,0,0,3,0,535000.0,3,1.0
0,3,0,0,2,0,322500.0,4,2.75
0,3,0,0,2,0,696000.0,3,2.5
0,1,0,0,0,0,550000.0,4,1.0
0,4,0,0,3,0,640000.0,4,2.0
0,2,0,0,1,0,240000.0,4,1.0
0,3,0,0,2,0,605000.0,4,2.5
0,3,0,0,2,0,625000.0,4,2.5
0,3,0,0,2,0,775000.0,4,2.25
0,3,0,0,2,0,861990.0,5,2.75
0,3,0,0,2,0,685000.0,3,1.0
0,4,0,0,3,0,309000.0,3,1.0
0,3,0,0,2,0,488000.0,3,2.5
0,3,0,0,2,0,210490.0,3,1.0
0,4,0,0,3,0,785000.0,4,2.5
0,4,0,0,3,0,450000.0,3,1.75
2,5,1,2,4,1,1350000.0,3,2.5
0,3,0,0,2,0,228000.0,3,1.0
0,4,0,0,3,0,345000.0,5,2.5
0,4,0,0,3,0,600000.0,3,1.75
0,3,0,0,2,0,585000.0,2,1.75
0,3,0,0,2,0,920000.0,5,2.25
0,3,0,0,2,0,885000.0,4,2.5
0,3,0,0,2,0,292500.0,4,2.5
0,3,0,0,2,0,301000.0,3,2.5
4,4,0,4,3,0,951000.0,5,3.25
0,3,0,0,2,0,430000.0,4,3.0
3,4,0,3,3,0,650000.0,3,2.25
0,3,0,0,2,0,289000.0,3,1.75
0,5,0,0,4,0,505000.0,3,1.75
0,3,0,0,2,0,549000.0,3,1.75
0,3,0,0,2,0,425000.0,3,2.25
0,5,0,0,4,0,317625.0,3,2.75
0,3,0,0,2,0,975000.0,4,2.5
0,3,0,0,2,0,287000.0,4,2.5
0,4,0,0,3,0,204000.0,3,1.0
0,3,0,0,2,0,1325000.0,5,2.25
0,4,0,0,3,0,1040000.0,5,3.25
0,4,0,0,3,0,325000.0,3,2.0
0,5,0,0,4,0,571000.0,4,2.0
0,3,0,0,2,0,360000.0,4,2.5
0,5,0,0,4,0,349000.0,3,1.75
0,4,0,0,3,0,832500.0,4,4.0
0,3,0,0,2,0,380000.0,4,1.75
0,3,0,0,2,0,480000.0,3,1.0
0,4,0,0,3,0,410000.0,3,1.0
0,3,0,0,2,0,720000.0,4,2.5
0,3,0,0,2,0,390000.0,3,2.5
0,3,0,0,2,0,360000.0,4,2.5
0,3,0,0,2,0,355000.0,2,1.0
0,3,0,0,2,0,356000.0,3,1.5
0,3,0,0,2,0,315000.0,3,1.0
0,3,0,0,2,0,940000.0,3,1.5
0,5,0,0,4,0,305000.0,5,2.25
0,3,0,0,2,0,461000.0,3,3.25
0,4,0,0,3,0,215000.0,2,2.25
0,3,0,0,2,0,335000.0,2,1.75
0,3,0,0,2,0,243500.0,4,2.5
0,4,0,0,3,0,1099880.0,5,2.75
0,3,0,0,2,0,153000.0,3,1.0
0,3,0,0,2,0,430000.0,3,1.5
0,3,0,0,2,0,700000.0,3,1.5
0,3,0,0,2,0,905000.0,4,2.5
0,3,0,0,2,0,247500.0,3,1.75
0,4,0,0,3,0,199000.0,4,1.5
0,5,0,0,4,0,314000.0,3,1.75
2,3,0,2,2,0,437500.0,3,2.5
0,5,0,0,4,0,850830.0,3,2.5
0,4,0,0,3,0,555000.0,3,2.0
0,4,0,0,3,0,699950.0,3,2.25
0,3,0,0,2,0,1088000.0,3,2.5
0,3,0,0,2,0,290000.0,3,1.0
0,4,0,0,3,0,375000.0,3,2.5
0,4,0,0,3,0,460000.0,3,1.0
0,4,0,0,3,0,188500.0,2,1.75
0,4,0,0,3,0,680000.0,4,2.5
0,4,0,0,3,0,470000.0,5,1.75
0,3,0,0,2,0,597750.0,4,2.5
0,5,0,0,4,0,570000.0,3,1.75
0,4,0,0,3,0,272500.0,3,1.75
2,3,0,2,2,0,329950.0,3,1.75
3,3,0,3,2,0,480000.0,4,2.5
0,3,0,0,2,0,740500.0,3,3.5
0,3,0,0,2,0,518500.0,3,3.5
0,4,0,0,3,0,205425.0,2,1.0
0,3,0,0,2,0,171800.0,4,2.0
0,4,0,0,3,0,535000.0,4,1.0
2,3,0,2,2,0,660000.0,3,2.5
0,3,0,0,2,0,391500.0,3,2.0
0,3,0,0,2,0,395000.0,2,1.0
0,5,0,0,4,0,445000.0,4,1.75
0,3,0,0,2,0,770000.0,3,2.25
0,3,0,0,2,0,1450000.0,4,2.75
2,3,0,2,2,0,445000.0,3,2.25
0,3,0,0,2,0,260000.0,4,2.25
0,5,0,0,4,0,822500.0,5,3.5
0,3,0,0,2,0,430000.0,4,2.5
0,4,0,0,3,0,212000.0,3,1.75
0,3,0,0,2,0,660500.0,4,2.25
0,3,0,0,2,0,784000.0,3,3.5
0,3,0,0,2,0,453246.0,3,2.5
0,3,0,0,2,0,675000.0,4,3.5
0,4,0,0,3,0,199000.0,3,1.75
